oid,mjd,mag,magerr,catflags,filtercode,ra,dec
578102400001769,58202.3341667,18.184515,0.0318093859,0,zg,203.3726946,15.7639341
578102400001769,58202.3748611,18.2165031,0.0324238464,0,zg,203.3727523,15.7639656
578102400001769,58205.3050694,18.2457695,0.0330014639,0,zg,203.3726966,15.7639665
578102400001769,58205.3447569,18.2856846,0.0338137187,0,zg,203.3727013,15.7639565
578102400001769,58211.3463194,18.2294674,0.0326778702,0,zg,203.3726335,15.7639285
578102400001769,58214.2826389,18.2055664,0.0322117917,32768,zg,203.3727984,15.7639358
578102400001769,58227.2941319,18.312191,0.0343691036,0,zg,203.3727026,15.763948
578102400001769,58230.3336458,18.3011837,0.03413691,0,zg,203.3727288,15.7639445
578102400001769,58235.2397569,18.2962151,0.0340328254,0,zg,203.3727222,15.763938
578102400001769,58235.2402083,18.2420807,0.0329278409,0,zg,203.3727293,15.763903
578102400001769,58236.2119097,18.2804203,0.0337049477,0,zg,203.3726848,15.763923
578102400001769,58236.3259144,18.4237251,0.0368526913,0,zg,203.3726648,15.763915
578102400001769,58242.2246296,18.285614,0.0338122584,0,zg,203.3726781,15.7639523
578102400001769,58248.2135995,18.1725235,0.0315835103,0,zg,203.3727021,15.7639326
578102400001769,58255.2103356,18.066761,0.0296924282,0,zg,203.3727153,15.7639286
578102400001769,58258.2767477,18.0307655,0.0290885754,0,zg,203.3727405,15.7639389
578102400001769,58262.2752199,18.1107864,0.0304579809,0,zg,203.3727657,15.7639569
578102400001769,58262.276169,18.1155205,0.0305420998,0,zg,203.3727658,15.7639575
578102400001769,58267.2068866,18.0536518,0.0294702426,0,zg,203.3727222,15.7639288
578102400001769,58267.2078009,18.1367722,0.0309241768,0,zg,203.372766,15.7639614
578102400001769,58269.2536343,18.1689911,0.0315174311,0,zg,203.3727521,15.7639655
578102400001769,58274.2327315,18.0998783,0.0302654859,0,zg,203.3727143,15.7639404
578102400001769,58277.2178935,18.1589851,0.0313313603,0,zg,203.3727291,15.7639355
578102400001769,58283.2542824,18.106535,0.0303827357,0,zg,203.3727174,15.7639284
578102400001769,58286.2145255,18.0741234,0.0298183616,0,zg,203.3727088,15.7639418
578102400001769,58289.1920949,18.0725765,0.0297918227,0,zg,203.3727565,15.763933
578102400001769,58292.1919329,18.1187592,0.0305998698,0,zg,203.3727703,15.7639485
578102400001769,58295.1732407,18.0340309,0.0291425474,0,zg,203.3727168,15.7639645
578102400001769,58298.1753588,17.9764366,0.0282133799,0,zg,203.3727253,15.7640205
578102400001769,58301.258206,18.0185928,0.0288887303,0,zg,203.3727133,15.7639403
578102400001769,58304.1941782,18.0010796,0.0286050476,0,zg,203.3727177,15.7639351
578102400001769,58307.2283912,18.0449963,0.0293249656,0,zg,203.3727253,15.7639516
578102400001769,58320.1695139,18.1193771,0.0306109004,0,zg,203.372734,15.7639508
578102400001769,58333.1833102,18.1841469,0.0318024121,0,zg,203.3727185,15.7639195
578102400001769,58336.1763889,18.2172737,0.0324388556,0,zg,203.3727413,15.7639446
578102400001769,58348.1540625,18.1621609,0.0313902348,0,zg,203.3726741,15.7640829
578102400001769,58352.1422801,18.2156219,0.0324066654,0,zg,203.3727632,15.7639907
578102400001769,58464.5149074,18.0412521,0.0292624701,0,zg,203.3727066,15.7639349
578102400001769,58465.5495486,18.0324917,0.0291170888,0,zg,203.3726755,15.76393
578102400001769,58465.5513773,18.0775471,0.0298772044,0,zg,203.3726982,15.7639334
578102400001769,58467.491088,18.0707474,0.0297605135,32768,zg,203.3727176,15.7639096
578102400001769,58471.5165856,18.0751991,0.0298368223,0,zg,203.3727034,15.7639268
578102400001769,58471.5175,18.050724,0.0294209756,0,zg,203.3726743,15.7639326
578102400001769,58472.5257986,18.0324402,0.0291162208,0,zg,203.3726739,15.7639257
578102400001769,58480.5190046,18.1493263,0.0311533306,0,zg,203.3726693,15.7639872
578102400001769,58486.5553819,18.1029339,0.0303192157,0,zg,203.3726424,15.7639587
578102400001769,58486.5562963,18.1105671,0.0304540899,0,zg,203.3727014,15.7639271
578102400001769,58487.4971759,18.1723251,0.0315797776,0,zg,203.3727196,15.7639314
578102400001769,58491.4956134,18.1575546,0.0313048959,0,zg,203.3726958,15.7639166
578102400001769,58491.4965278,18.1061745,0.0303763542,0,zg,203.3727304,15.7639286
578102400001769,58492.5244676,18.1958427,0.0320249796,0,zg,203.3726966,15.7639229
578102400001769,58493.5419907,18.1702003,0.0315400213,0,zg,203.3727112,15.7639291
578102400001769,58493.5436458,18.2133026,0.0323615745,0,zg,203.3727063,15.7639208
578102400001769,58494.5266319,18.1702805,0.0315415151,0,zg,203.372705,15.7639275
578102400001769,58502.4975579,18.175518,0.0316396914,0,zg,203.3727191,15.7639414
578102400001769,58502.4985417,18.1643143,0.0314302444,0,zg,203.3726391,15.7639141
578102400001769,58505.4993171,18.0756989,0.0298454035,0,zg,203.3726939,15.764008
578102400001769,58505.5002315,18.1212959,0.0306452271,0,zg,203.372657,15.7640034
578102400001769,58506.5054167,18.1393223,0.0309705306,0,zg,203.3726622,15.763835
578102400001769,58507.4856134,18.1955185,0.032018777,0,zg,203.3726596,15.7639026
578102400001769,58507.5226389,18.158062,0.0313142873,0,zg,203.3727362,15.7640467
578102400001769,58509.5351968,18.1119175,0.0304780528,0,zg,203.372674,15.7639574
578102400001769,58511.4821181,18.1186028,0.0305970777,0,zg,203.3726917,15.7639382
578102400001769,58511.491412,18.1673889,0.0314875245,0,zg,203.3727041,15.7639306
578102400001769,58511.4948495,18.1246777,0.0307058599,0,zg,203.3726957,15.763938
578102400001769,58513.3840625,18.3174496,0.0344808549,32768,zg,203.3726737,15.7639542
578102400001769,58522.4360764,18.143528,0.0310471822,0,zg,203.3727147,15.7639501
578102400001769,58522.4915625,18.1406765,0.0309951827,0,zg,203.3727084,15.7639293
578102400001769,58522.4924769,18.1476536,0.0311226305,0,zg,203.3727009,15.7639246
578102400001769,58524.4353819,18.1435204,0.0310470276,0,zg,203.3727093,15.7639313
578102400001769,58526.4545023,18.0815067,0.0299454741,0,zg,203.3727132,15.7638815
578102400001769,58526.4554167,18.1320095,0.0308379233,0,zg,203.3727258,15.7638823
578102400001769,58534.2924769,18.1750278,0.03163049,0,zg,203.3727714,15.7639741
578102400001769,58539.3808333,18.2136097,0.0323675275,0,zg,203.3727163,15.7639289
578102400001769,58543.3810764,18.2227917,0.0325467028,32768,zg,203.3726209,15.7638954
578102400001769,58547.3564583,18.1548538,0.0312550142,0,zg,203.3727717,15.7639228
578102400001769,58561.3183218,18.2723427,0.0335390307,0,zg,203.3726593,15.7639347
578102400001769,58562.3146644,17.7819557,0.0254110936,32768,zg,203.3726811,15.7638606
578102400001769,58562.3155671,18.4584198,0.0376757756,0,zg,203.3726513,15.7639151
578102400001769,58567.2903935,18.4170055,0.0366961174,0,zg,203.3727221,15.7639115
578102400001769,58567.2912963,18.3660431,0.0355380662,0,zg,203.3727074,15.763913
578102400001769,58568.2538773,18.3394985,0.0349549875,0,zg,203.3727159,15.7638935
578102400001769,58572.3355324,18.3600197,0.0354045555,0,zg,203.3727087,15.7639457
578102400001769,58572.3364352,18.427906,0.0369505621,0,zg,203.3727195,15.7639207
578102400001769,58573.3158681,18.4173832,0.0367049016,0,zg,203.3727109,15.7639439
578102400001769,58574.3510301,18.370636,0.035640344,32768,zg,203.3727057,15.7639304
578102400001769,58575.3156597,18.3791924,0.0358319469,0,zg,203.3727092,15.7639292
578102400001769,58575.3166204,18.3595409,0.0353939645,0,zg,203.3727143,15.7639359
578102400001769,58580.3003009,18.4351349,0.0371206328,0,zg,203.3727174,15.7639407
578102400001769,58580.3012037,18.3812733,0.0358787812,0,zg,203.3727213,15.7639221
578102400001769,58581.3146296,18.394228,0.0361721665,0,zg,203.3726906,15.7639421
578102400001769,58582.3517245,18.451231,0.0375032015,0,zg,203.3727208,15.7639028
578102400001769,58583.3569676,18.4056396,0.0364333801,0,zg,203.3727058,15.7639258
578102400001769,58583.3592708,18.3252888,0.0346483737,0,zg,203.372719,15.7639074
578102400001769,58584.2908102,18.4070244,0.0364652351,0,zg,203.3727123,15.7639151
578102400001769,58586.2733333,18.4445877,0.0373446606,0,zg,203.3726907,15.763945
578102400001769,58586.2742361,18.4220963,0.0368146636,0,zg,203.372713,15.7639415
578102400001769,58587.3326157,18.4565468,0.0376307108,0,zg,203.3726996,15.7639267
578102400001769,58589.3942245,18.5247898,0.0393208414,32768,zg,203.3727327,15.7639307
578102400001769,58591.2709028,18.3778572,0.0358019546,0,zg,203.3726189,15.7638434
578102400001769,58592.4222917,18.3999653,0.03630317,0,zg,203.3727319,15.7639336
578102400001769,58594.2315625,18.4405861,0.0372495987,0,zg,203.3727139,15.7639221
578102400001769,58596.2324537,18.3853226,0.0359701328,0,zg,203.3726573,15.7639284
578102400001769,58596.2333565,18.4367847,0.0371595994,0,zg,203.3727028,15.763909
578102400001769,58597.2920255,18.4218121,0.0368080176,0,zg,203.3727071,15.7639323
578102400001769,58600.2345139,18.4773159,0.0381345712,0,zg,203.3726901,15.7639065
578102400001769,58600.2354167,18.3994999,0.0362925008,0,zg,203.3727147,15.7639179
578102400001769,58601.2384722,18.454937,0.0375920124,0,zg,203.3726981,15.7639267
578102400001769,58606.3802431,18.3934555,0.0361545794,0,zg,203.3727028,15.7639284
578102400001769,58612.2527662,18.3307705,0.0347661935,0,zg,203.3727047,15.7639291
578102400001769,58616.2255903,18.4292717,0.036982622,0,zg,203.3726731,15.7639508
578102400001769,58619.2307292,18.4391155,0.0372147374,0,zg,203.3727278,15.7639404
578102400001769,58628.2107176,18.3665695,0.0355497487,0,zg,203.3727127,15.7639302
578102400001769,58628.2116204,18.3642883,0.0354991034,0,zg,203.3727033,15.7639326
578102400001769,58633.2573843,18.3998146,0.0362997018,0,zg,203.3727095,15.763933
578102400001769,58633.2583218,18.3622742,0.0354544371,0,zg,203.3727106,15.7639459
578102400001769,58634.2381944,18.3739681,0.0357147902,0,zg,203.3727187,15.7639179
578102400001769,58635.1910417,18.3839912,0.0359400623,0,zg,203.3727152,15.7639202
578102400001769,58636.2540394,18.362896,0.0354682282,0,zg,203.3727161,15.7639267
578102400001769,58636.2549653,18.3651981,0.0355192907,0,zg,203.3727119,15.7639319
578102400001769,58637.2367477,18.3002777,0.0341178961,0,zg,203.372615,15.7640089
578102400001769,58638.207581,18.3113842,0.0343520306,0,zg,203.3727137,15.763923
578102400001769,58639.2358796,18.3389359,0.0349427722,0,zg,203.372729,15.7639035
578102400001769,58639.2368056,18.3345623,0.0348480344,0,zg,203.3727154,15.7639132
578102400001769,58640.1937963,18.3233356,0.0346065126,0,zg,203.372712,15.7639183
578102400001769,58641.1819676,18.3585777,0.0353726931,0,zg,203.3727229,15.7639241
578102400001769,58642.1946875,18.3232765,0.0346052609,0,zg,203.3727082,15.7639348
578102400001769,58642.1955903,18.3575783,0.0353506505,0,zg,203.3727209,15.7639209
578102400001769,58645.2116319,18.3213367,0.0345637575,0,zg,203.3727162,15.7639102
578102400001769,58651.1700579,18.3032856,0.0341810733,0,zg,203.3727362,15.7639293
578102400001769,58654.2405903,18.2499847,0.0330858976,0,zg,203.372694,15.7639271
578102400001769,58657.193125,18.281641,0.0337301269,0,zg,203.3727028,15.7639332
578102400001769,58665.194375,18.1663818,0.0314687453,0,zg,203.372711,15.7639245
578102400001769,58668.2063079,18.1867752,0.0318522304,0,zg,203.372679,15.7638969
578102400001769,58674.2020602,18.1757126,0.0316433422,0,zg,203.3727313,15.7639295
578102400001769,58677.1723958,18.2210445,0.0325124897,0,zg,203.37274,15.763924
578102400001769,58677.1851852,18.1693039,0.0315232649,0,zg,203.3727239,15.7639248
578102400001769,58678.2605787,18.1366329,0.0309216678,0,zg,203.372709,15.7639248
578102400001769,58679.1730556,18.1009979,0.0302851554,0,zg,203.372725,15.763923
578102400001769,58680.1729398,17.9786034,0.0282474775,0,zg,203.3727431,15.7638863
578102400001769,58680.1738426,18.0943527,0.0301686712,0,zg,203.3727384,15.7639129
578102400001769,58682.1692593,18.1416016,0.031012034,0,zg,203.3727214,15.7639039
578102400001769,58683.1719792,18.1306686,0.0308137015,0,zg,203.3727175,15.763917
578102400001769,58683.1783912,18.0719643,0.0297813453,0,zg,203.3727205,15.7639181
578102400001769,58685.1856019,18.0716629,0.029776182,0,zg,203.372722,15.7639201
