oid,mjd,mag,magerr,catflags,filtercode,ra,dec
722214100004728,58198.3931944,20.1518593,0.126695409,0,zr,245.5280412,43.7769031
722214100004728,58198.3990741,20.07061,0.119329058,0,zr,245.5281921,43.7768933
722214100004728,58198.4336806,20.0641403,0.118757375,0,zr,245.5281146,43.7768551
722214100004728,58198.4522569,20.0633087,0.118683994,0,zr,245.5281594,43.7768961
722214100004728,58198.4684722,20.0917816,0.121215492,0,zr,245.5281312,43.7769059
722214100004728,58198.4843287,20.0241241,0.115269467,0,zr,245.5281631,43.7769105
722214100004728,58216.3596296,20.0504551,0.117555104,0,zr,245.5280513,43.7768978
722214100004728,58216.3605787,20.1181221,0.123595074,0,zr,245.5280446,43.7768334
722214100004728,58216.3615278,20.1308441,0.124757238,0,zr,245.5281469,43.776891
722214100004728,58216.3764583,20.1900578,0.130275786,0,zr,245.5282668,43.7768598
722214100004728,58216.3994329,19.8634415,0.102110513,0,zr,245.5282214,43.7768478
722214100004728,58217.3862153,20.0481529,0.11735373,0,zr,245.5280501,43.7768691
722214100004728,58217.4067245,19.9556046,0.109492414,0,zr,245.528164,43.7768792
722214100004728,58217.4408796,20.025404,0.115379557,0,zr,245.5282362,43.7768221
722214100004728,58217.4653819,20.0516682,0.117661104,0,zr,245.5282148,43.7768336
722214100004728,58217.4663542,19.9140263,0.106107078,0,zr,245.5281472,43.7768425
722214100004728,58217.4809375,20.048418,0.117376857,0,zr,245.5281829,43.7769471
722214100004728,58218.339838,20.2075996,0.131944895,0,zr,245.5281289,43.7769059
722214100004728,58218.3626505,19.8029175,0.0975030363,0,zr,245.5281531,43.776892
722214100004728,58218.3866204,20.0441017,0.117000222,0,zr,245.5281746,43.7769423
722214100004728,58218.4139236,20.0250816,0.115351819,0,zr,245.528132,43.7768673
722214100004728,58218.4148843,20.0043945,0.113580577,0,zr,245.528064,43.7769003
722214100004728,58218.4342245,20.0967064,0.121657744,0,zr,245.5281536,43.7769044
722214100004728,58218.4575,20.1674004,0.128143102,0,zr,245.5279126,43.7768623
722214100004728,58218.4584144,20.1450901,0.126068503,0,zr,245.5281771,43.7768991
722214100004728,58218.4608102,20.216423,0.132790238,0,zr,245.5281677,43.7769202
722214100004728,58219.3646296,19.9839401,0.111851439,0,zr,245.5281317,43.7769074
722214100004728,58219.3865856,19.9018631,0.105133913,0,zr,245.5281434,43.7768667
722214100004728,58219.3875463,20.098629,0.121830598,0,zr,245.5280398,43.7768891
722214100004728,58219.3898843,20.1777744,0.129116327,0,zr,245.5279398,43.7769166
722214100004728,58219.4145949,19.8377037,0.100128047,0,zr,245.5281617,43.7769144
722214100004728,58219.4561458,20.1186733,0.123645194,0,zr,245.5282451,43.7769121
722214100004728,58219.4570602,19.9183788,0.106457211,0,zr,245.5282495,43.776874
722214100004728,58219.4579745,19.9195671,0.106552988,0,zr,245.5279887,43.7769411
722214100004728,58219.4757639,19.858078,0.101694494,0,zr,245.52812,43.7769029
722214100004728,58222.3778935,20.08531,0.120636463,0,zr,245.5281385,43.7769192
722214100004728,58222.3788426,19.9610329,0.109941036,0,zr,245.528074,43.7768322
722214100004728,58222.4014005,19.9539318,0.109354392,0,zr,245.5280302,43.7768312
722214100004728,58222.4023611,20.0341072,0.116131723,0,zr,245.5279751,43.7768246
722214100004728,58222.4198264,20.0928879,0.121314704,0,zr,245.5281572,43.7769134
722214100004728,58222.420787,19.9235115,0.106871411,0,zr,245.5281131,43.7768971
722214100004728,58222.4573611,19.9358006,0.107868671,0,zr,245.528182,43.7768554
722214100004728,58222.4769329,19.9742146,0.111037023,0,zr,245.5281215,43.7769206
722214100004728,58224.4358333,20.1519356,0.126702487,0,zr,245.5280771,43.7769032
722214100004728,58224.4367477,19.7591324,0.0942871422,0,zr,245.5279558,43.7769049
722214100004728,58226.3409954,19.9980907,0.113045424,0,zr,245.5281079,43.7769145
722214100004728,58226.3614931,20.135828,0.125214934,0,zr,245.5281269,43.7768731
722214100004728,58226.3809144,19.9999809,0.113205627,0,zr,245.5281174,43.7769057
722214100004728,58226.4087269,20.0170403,0.114660613,0,zr,245.5281159,43.7768727
722214100004728,58226.4307176,19.9726868,0.110909492,0,zr,245.5280951,43.7768854
722214100004728,58226.4316319,19.9224968,0.10678944,0,zr,245.5281062,43.7768991
722214100004728,58226.4325463,20.0240364,0.115261883,0,zr,245.5280928,43.7768418
722214100004728,58226.4626852,19.9364681,0.107923061,0,zr,245.528054,43.7768981
722214100004728,58226.4636111,20.0111694,0.114158235,0,zr,245.5281193,43.7769146
722214100004728,58226.4645602,20.0926132,0.12129011,0,zr,245.5282235,43.776874
722214100004728,58227.4007986,19.9087486,0.105683886,0,zr,245.5280306,43.7769284
722214100004728,58229.3930903,19.9242516,0.106931254,0,zr,245.5281775,43.776926
722214100004728,58229.4064583,19.9150486,0.106189281,0,zr,245.5281634,43.7768923
722214100004728,58229.4074306,19.9253197,0.107017666,0,zr,245.5282625,43.7769824
722214100004728,58229.4083449,19.9968262,0.112938277,0,zr,245.5280238,43.7768842
722214100004728,58229.4353125,19.9129257,0.106018737,0,zr,245.5281622,43.7768379
722214100004728,58230.4346065,19.9575787,0.10965541,0,zr,245.528144,43.7768619
722214100004728,58230.4355787,19.9931355,0.11262612,0,zr,245.5281411,43.7768366
722214100004728,58230.4413079,19.8209991,0.098859705,0,zr,245.5281194,43.7769099
722214100004728,58231.3070139,19.9911442,0.112457931,0,zr,245.5280778,43.776904
722214100004728,58231.3519907,20.0700417,0.119278818,0,zr,245.5280917,43.7769732
722214100004728,58231.363125,19.9672108,0.110453606,0,zr,245.5280368,43.7768475
722214100004728,58232.386794,19.6936302,0.0896569788,0,zr,245.5280851,43.7769139
722214100004728,58232.4105093,20.1898632,0.130257502,32768,zr,245.5282825,43.7768681
722214100004728,58232.425787,19.6937675,0.0896664485,32768,zr,245.5279436,43.7770486
