name,ra,dec,z,type
SDSS J000200.37+101244.4,0.50156,10.212378,0.85,Q
SDSS J002916.34+014306.1,7.318072,1.718359,0.68,Q
SDSS J073854.12+200041.4,114.725503,20.01156,2.42,Q
SDSS J093657.17+582752.8,144.238247,58.464681,0.38,A
SDSS J002224.18+305511.8,5.600777,30.919978,0.83,Q
SDSS J151726.37+474720.7,229.359922,47.789093,0.77,Q
SDSS J005132.94+180120.5,12.887246,18.022396,0.96,Q
SDSS J093617.35+362223.1,144.072311,36.373098,1.36,Q
SDSS J005455.08+345311.3,13.729563,34.886507,0.45,Q
SDSS J145841.19+085450.2,224.671653,8.913958,0.14,QX
SDSS J094525.29+382127.1,146.355403,38.357553,0.8,Q
SDSS J102204.53+430809.5,155.518849,43.135992,0.31,A
SDSS J123821.96+505319.1,189.591514,50.888639,0.72,Q
SDSS J163141.85+445617.2,247.924394,44.938122,0.74,Q
SDSS J233038.98+323214.7,352.66242,32.537444,0.98,Q
SDSS J115849.15+650258.3,179.704853,65.04953,0.7,Q
SDSS J080257.07+263231.1,120.737799,26.541995,2.21,Q
SDSS J112842.98+601346.7,172.179127,60.229627,0.86,Q
SDSS J103316.59+372039.3,158.319136,37.34424,0.63,Q
SDSS J231651.69+172154.3,349.215418,17.365113,0.74,Q
SDSS J084534.64+340424.0,131.394331,34.073336,2.14,Q
SDSS J115544.71+582549.4,178.936257,58.430397,0.32,Q
SDSS J111305.27+572451.2,168.271959,57.414247,1.71,Q
SDSS J113900.36+233941.6,174.751521,23.66158,0.19,A
SDSS J132410.43+630745.1,201.043531,63.129209,1.18,Q
SDSS J103240.29+642816.3,158.167923,64.471205,1.24,Q
SDSS J094847.59+491038.7,147.19833,49.177411,0.4,Q
SDSS J020719.25+054938.0,31.830243,5.827248,1,Q
SDSS J215412.23-031501.0,328.550955,-3.250277,0.49,A
SDSS J095641.68+111130.4,149.17369,11.191788,0.7,Q
SDSS J120923.12+504150.1,182.346376,50.697276,0.52,Q
SDSS J123626.18+220147.5,189.109098,22.029899,0.18,AX
SDSS J134220.22+475412.5,205.584265,47.903486,1.03,Q
SDSS J234519.88-031931.5,356.33287,-3.325414,0.58,Q
SDSS J150203.38+035842.1,225.514093,3.978393,0.72,Q
SDSS J160150.56+235457.5,240.460712,23.915984,1.71,Q
SDSS J094209.00+570019.6,145.537554,57.005446,0.35,NR
SDSS J091829.50+443312.3,139.622937,44.553416,0.57,Q
SDSS J145949.13+520925.4,224.954756,52.157073,0.69,QX
SDSS J005759.30+252322.0,14.4971,25.389475,0.66,Q
SDSS J151936.95+523006.5,229.904033,52.501797,0.7,Q
SDSS J000943.37+010459.8,2.430708,1.083261,0.45,Q
SDSS J000749.53+214508.7,1.956394,21.752441,0.93,Q
SDSS J010000.58+302301.9,15.00242,30.383891,1.66,Q
SDSS J125820.11+424551.3,194.583795,42.764277,0.57,Q
SDSS J131216.05+543318.8,198.06686,54.555226,0.36,A
SDSS J093622.81+511522.1,144.095073,51.256146,0.79,Q
SDSS J165157.31+192005.5,252.988798,19.33486,0.71,Q
SDSS J164022.88+480722.3,250.095369,48.122888,0.98,Q
SDSS J113208.19+354233.2,173.034148,35.709224,0.11,N
SDSS J151702.31+104206.6,229.259645,10.701836,0.79,Q
SDSS J153828.50+020646.6,234.618805,2.112961,0.31,A
SDSS J153154.37+024805.4,232.976572,2.801527,0.66,Q
SDSS J133358.49+044243.1,203.493738,4.711983,0.43,Q
SDSS J133322.30+341048.0,203.342948,34.179966,0.53,QX
SDSS J020159.29+282135.1,30.497071,28.359747,0.26,A
SDSS J094002.75+554033.5,145.011486,55.675998,1.95,Q
SDSS J211816.14+093448.5,319.567252,9.580161,0.5,Q
SDSS J133536.08+340125.6,203.900327,34.023771,0.38,AX
SDSS J161713.50+515618.8,244.306316,51.938574,0.19,AX
SDSS J081018.67+250921.2,122.577809,25.155897,0.26,Q
SDSS J095411.44+364007.1,148.547671,36.668676,1.41,Q
SDSS J092421.72+052211.9,141.090511,5.369969,0.75,Q
SDSS J011118.86+253823.1,17.828597,25.639756,0.62,Q
SDSS J104921.97+482259.4,162.341546,48.383181,1.56,Q
SDSS J143540.87+445614.4,218.920335,44.937339,0.55,Q
SDSS J152924.64-015343.4,232.352692,-1.89542,0.42,QX
SDSS J233911.06+012757.5,354.796104,1.465991,0.5,A
SDSS J090012.32+191730.0,135.051361,19.291669,0.44,A
SDSS J010729.01+304934.5,16.870853,30.826303,2.47,Q
SDSS J114010.12+102928.1,175.042229,10.491133,0.15,QX
SDSS J163435.59+372621.6,248.648303,37.439343,0.65,Q
SDSS J082009.75+425940.1,125.04067,42.994469,1.77,Q
SDSS J121535.13+055000.6,183.896412,5.833499,0.38,Q
SDSS J232840.37+293516.2,352.168207,29.587857,0.69,Q
SDSS J234823.78+270141.4,357.099082,27.028193,0.29,AR
SDSS J080340.14+363217.7,120.917254,36.538273,0.53,Q
SDSS J095757.93+562034.4,149.491429,56.342905,0.74,Q
SDSS J155321.40+572420.5,238.339206,57.405706,0.53,A
SDSS J120022.97+044651.7,180.09572,4.781043,0.27,Q
SDSS J150232.05+521902.1,225.633566,52.317257,1.33,Q
SDSS J124018.21+362932.4,190.075866,36.492344,0.19,AX
SDSS J160516.79+381726.1,241.32,38.290601,0.46,A
SDSS J114348.06+212234.5,175.950275,21.37625,0.76,Q
SDSS J222936.47+244041.7,337.401978,24.678245,0.58,Q
SDSS J131847.14+105245.0,199.696429,10.879186,0.84,Q
SDSS J153612.92+424415.3,234.053848,42.737566,0.48,A
SDSS J002512.07+264608.0,6.300271,26.768878,0.69,Q
SDSS J002627.93+334004.7,6.61636,33.667963,0.75,Q
SDSS J101804.11+150137.0,154.517146,15.026961,2.39,Q
SDSS J140325.01+470221.5,210.854242,47.039307,0.63,Q
SDSS J115953.74+505445.5,179.973899,50.912614,2.11,Q
SDSS J112019.95+385544.4,170.083173,38.928987,1.15,Q
SDSS J150300.90+042529.2,225.753815,4.424796,2.32,Q
SDSS J163354.08+441114.1,248.475386,44.187254,2.27,Q
SDSS J094719.97+583144.3,146.833237,58.528968,0.94,QX
SDSS J162232.29+203203.9,245.634572,20.534422,0.98,QR
SDSS J140452.30+565940.4,211.217918,56.994546,0.59,Q
SDSS J141923.73+034558.6,214.848905,3.766275,1.07,QR
SDSS J014355.98+234434.0,25.983265,23.742792,0.73,Q
SDSS J143522.51+442640.3,218.843821,44.444559,1.76,Q
SDSS J230040.81+233926.4,345.170031,23.657314,0.78,Q
SDSS J125707.20+462918.1,194.280022,46.488374,0.76,Q
SDSS J085302.12+480128.7,133.258861,48.024633,0.54,Q
SDSS J134103.63+353551.6,205.26515,35.597674,0.66,QX
SDSS J212548.76+020442.3,321.453212,2.07843,0.51,A
SDSS J145031.02+523305.6,222.629288,52.551578,1.19,Q
SDSS J022230.45-014029.1,35.626936,-1.674808,0.9,Q
SDSS J150302.19+601831.5,225.759149,60.308752,0.54,Q
SDSS J152814.29+382352.9,232.059541,38.398039,0.6,Q
SDSS J164931.54+405806.0,252.381442,40.968359,1.78,Q
SDSS J004059.31-031224.8,10.247168,-3.206857,2.44,Q
SDSS J080713.47+404616.1,121.806135,40.77118,0.89,Q
SDSS J085829.92+015033.4,134.624676,1.842626,0.63,Q
SDSS J141523.81+561937.7,213.849247,56.327153,0.73,Q
SDSS J144224.54+362314.3,220.602275,36.387321,0.33,Q
SDSS J100518.58+475903.6,151.327404,47.984365,0.54,QX
SDSS J074156.54+451244.1,115.485597,45.212256,0.4,QX
SDSS J235926.57+071114.3,359.860744,7.187315,1.58,Q
SDSS J162046.51+131558.3,245.193809,13.266203,0.47,Q
SDSS J150031.99+364955.4,225.133298,36.832064,0.46,Q
SDSS J011609.91+005659.2,19.041332,0.949795,1.93,Q
SDSS J150400.35+440931.5,226.001471,44.158742,0.46,AX
SDSS J020431.26+012204.9,31.130272,1.368052,0.21,AX
SDSS J163246.55+340526.1,248.193964,34.090605,0.82,Q
SDSS J125148.21+365608.7,192.950898,36.935751,2.02,Q
SDSS J141834.48+313239.5,214.643675,31.544313,2.69,Q
SDSS J161013.67+311756.4,242.55696,31.298994,0.24,A
SDSS J013957.20+303959.3,24.988344,30.66651,1.11,Q
SDSS J230828.23+085121.3,347.117636,8.85593,0.48,QX
SDSS J013201.09+002324.6,23.004552,0.390189,0.53,AX
SDSS J013506.29+290625.5,23.776224,29.107121,0.73,Q
SDSS J012625.96+331043.0,21.608202,33.17862,0.59,Q
SDSS J144457.06+175448.5,221.237765,17.913493,0.99,Q
SDSS J092523.45+263327.6,141.34773,26.557685,0.86,Q
SDSS J143510.52+514747.2,218.793844,51.796451,0.48,Q
SDSS J011716.38+174429.7,19.318277,17.741588,0.97,Q
SDSS J143959.27+080849.9,219.997014,8.147203,0.77,Q
SDSS J170603.36+385014.9,256.51402,38.83749,0.49,A
SDSS J004936.40+014436.3,12.401678,1.743462,1.23,Q
SDSS J094912.20+511528.8,147.300831,51.258013,0.36,AR
SDSS J113342.58+541612.9,173.427417,54.270257,0.44,Q
SDSS J014854.73-045148.6,27.228071,-4.86351,0.66,Q
SDSS J162628.41+155702.2,246.618414,15.950637,2.3,Q
SDSS J105610.99+434930.4,164.045808,43.825119,0.3,A
SDSS J155916.60+514916.6,239.819201,51.821301,0.98,AR
SDSS J074831.74+344710.5,117.132248,34.78626,1.73,Q
SDSS J152941.01+464517.6,232.420883,46.754894,2.42,Q
SDSS J161946.73+172937.2,244.944722,17.4937,0.69,QX
SDSS J171402.88+375100.5,258.512043,37.850137,0.62,Q
SDSS J134431.88+612328.1,206.132856,61.391155,0.85,Q
SDSS J165858.83+305316.2,254.745144,30.887821,0.59,Q
SDSS J223022.31+030422.7,337.593001,3.072973,0.76,QR
SDSS J092926.64+344933.1,142.361031,34.825897,0.58,Q
SDSS J090832.03+621642.9,137.133448,62.278614,0.36,Q
SDSS J215941.36+090821.8,329.922336,9.139404,0.72,Q
SDSS J155422.37+101616.7,238.593267,10.271311,1.26,Q
SDSS J231421.30+034404.9,348.588814,3.734708,0.68,Q
SDSS J140956.73+511205.9,212.486412,51.20165,0.52,Q
SDSS J085247.10+065223.2,133.196268,6.873123,0.47,Q
SDSS J163317.00+165310.3,248.32086,16.88621,0.87,Q
SDSS J095210.01+121317.7,148.04173,12.221616,0.86,Q
SDSS J131243.73+463647.2,198.182244,46.613114,0.5,AX
SDSS J013424.11+102243.7,23.600492,10.378803,2.01,Q
SDSS J084826.17+301931.2,132.109055,30.325352,0.47,Q
SDSS J230437.88+234802.3,346.157863,23.800654,0.51,Q
SDSS J125312.84+111147.6,193.303506,11.196567,2.46,Q
SDSS J133510.88+391136.0,203.795357,39.193365,0.59,QX
SDSS J122326.26+363533.1,185.859438,36.59254,1,Q
SDSS J085449.00+022156.6,133.704193,2.365732,0.99,QX
SDSS J000118.89+041926.3,0.328738,4.324036,0.97,Q
SDSS J085744.66+012951.8,134.436132,1.497757,2.47,Q
SDSS J095116.21+291650.3,147.817536,29.280643,0.76,Q
SDSS J085056.94+014711.0,132.737272,1.78639,0.41,Q
SDSS J073429.54+322611.5,113.623105,32.436541,1.12,QR
SDSS J004140.52+155637.2,10.418867,15.943695,1.03,Q
SDSS J155505.99+455008.7,238.775005,45.835763,0.37,Q
SDSS J112725.49+144838.0,171.85624,14.810567,0.75,Q
SDSS J015822.71+113002.5,29.594652,11.500726,0.75,Q
SDSS J085003.82+485056.1,132.51593,48.848926,2.68,Q
SDSS J111310.09+334020.9,168.292097,33.672467,0.47,Q
SDSS J161512.49+182354.0,243.802055,18.398338,1.02,QR
SDSS J135950.59+625657.1,209.960831,62.94922,0.32,A
SDSS J122310.63+080842.9,185.794289,8.145288,0.25,AX
SDSS J151725.25+594213.0,229.355272,59.703563,0.49,Q
SDSS J125032.41+675245.5,192.635067,67.879306,2.53,QR
SDSS J134022.68+381422.5,205.094528,38.239604,0.51,Q
SDSS J105454.05+395955.7,163.725229,39.998821,0.6,Q
SDSS J113733.90+212540.9,174.391257,21.428046,2.87,Q
SDSS J143001.76-021717.7,217.507348,-2.2883,0.29,A
SDSS J093412.83+074538.3,143.553511,7.760663,0.35,Q
SDSS J122707.90+575911.2,186.78289,57.986451,0.77,Q
SDSS J113733.13+430744.1,174.388064,43.128926,0.54,Q
SDSS J112933.14+402119.3,172.388083,40.355367,0.2,NR
SDSS J160454.51+470518.8,241.227162,47.088575,1.01,Q
SDSS J014759.16-101247.6,26.996528,-10.213237,2.25,Q
SDSS J230834.02+293837.1,347.14174,29.643657,0.84,Q
SDSS J122700.36+425506.6,186.751553,42.9185,0.64,Q
SDSS J022759.56+035312.7,36.998208,3.886886,0.72,Q
SDSS J091901.14+611715.4,139.754794,61.287633,0.22,A
SDSS J094333.60+513652.7,145.889965,51.614676,0.97,Q
SDSS J074937.34+374947.8,117.405624,37.829952,0.83,Q
SDSS J155802.07+242212.6,239.50864,24.370162,0.53,Q
SDSS J022408.67+022314.0,36.036142,2.387224,0.75,Q
SDSS J111517.79+255922.0,168.824162,25.989475,2.11,Q
SDSS J023116.38-032547.2,37.818292,-3.429792,1.02,Q
SDSS J124059.82+283045.1,190.249218,28.512538,0.49,QX
SDSS J083701.67+525025.0,129.25699,52.840274,0.88,Q
SDSS J092124.23+103517.5,140.351046,10.58809,0.49,Q
SDSS J231239.40+273420.4,348.164186,27.572341,0.37,A
SDSS J172519.57+275758.0,261.331561,27.966095,2.52,Q
SDSS J080906.60+424947.1,122.277494,42.829764,0.57,Q
SDSS J120934.15+482803.5,182.392299,48.467639,1.44,Q
SDSS J014545.95+083904.4,26.441474,8.65122,0.64,Q
SDSS J095119.11+433028.2,147.829663,43.507838,0.83,Q
SDSS J143921.55+343412.1,219.839825,34.570026,0.6,QX
SDSS J145516.50+401427.9,223.818766,40.241079,0.4,Q
SDSS J152014.85+283953.8,230.061888,28.664932,0.58,Q
SDSS J091101.96+005054.9,137.758182,0.8486,0.61,Q
SDSS J164923.48+524420.8,252.347855,52.739145,0.82,QX
SDSS J124836.44+631925.4,192.151869,63.323723,1.23,Q
SDSS J222311.63+214421.9,335.798459,21.739445,0.44,Q
SDSS J095631.18+183113.4,149.12993,18.520382,2.63,Q
SDSS J033609.54-061913.1,54.039782,-6.320326,0.43,AX
SDSS J101114.42+253731.3,152.810109,25.625364,0.4,Q
SDSS J084939.18+213356.4,132.413258,21.565686,0.44,A
SDSS J105959.56+284133.4,164.998164,28.692605,1.28,Q
SDSS J082154.29+224945.6,125.476255,22.829326,1,Q
SDSS J141505.91+044546.1,213.774624,4.762815,0.24,QX
SDSS J211028.35-064253.3,317.61811,-6.714827,0.53,Q
SDSS J163009.17+294735.6,247.538242,29.793208,0.63,QX
SDSS J210221.98+093940.1,315.59161,9.661137,0.51,Q
SDSS J072004.52+392226.2,110.018861,39.373951,0.34,A
SDSS J104026.54+344330.5,160.110576,34.725143,1.67,Q
SDSS J093644.48+651130.7,144.185309,65.191884,0.81,Q
SDSS J170725.42+425245.5,256.855937,42.879328,0.66,Q
SDSS J162450.13+075418.0,246.208865,7.905012,0.45,Q
SDSS J000453.83+001546.0,1.22431,0.2628,2.86,QX
SDSS J001000.33+233154.9,2.501376,23.531955,0.98,Q
SDSS J133812.84+592332.0,204.553476,59.392229,1.61,Q
SDSS J020037.90+193827.5,30.157927,19.641013,0.65,Q
SDSS J121758.17+271910.2,184.492393,27.319522,0.49,A
SDSS J003329.60+051210.4,8.373379,5.202898,0.83,Q
SDSS J121223.41+345322.5,183.097605,34.889606,0.37,A
SDSS J170419.77+355736.2,256.082408,35.960099,0.5,Q
SDSS J090209.54+525102.1,135.539791,52.850585,0.45,A
SDSS J130844.74+392628.1,197.186419,39.441152,1.58,Q
SDSS J005113.45+202107.1,12.806028,20.352005,0.59,Q
SDSS J081126.78+183353.7,122.861567,18.564925,0.83,Q
SDSS J160853.57+393839.2,242.223226,39.644253,0.56,Q
SDSS J110128.91+670057.8,165.3705,67.016073,0.87,Q
SDSS J090435.96+060033.6,136.149832,6.009352,0.99,Q
SDSS J115933.57+580627.8,179.889995,58.107655,0.21,A
SDSS J083028.31+380442.2,127.618025,38.078393,1.75,QX
SDSS J215941.64+064910.3,329.92355,6.819574,0.81,Q
SDSS J083207.72+235131.7,128.032198,23.858814,0.87,Q
SDSS J222505.62+163504.1,336.273441,16.584498,0.45,A
SDSS J003237.70+093949.7,8.157125,9.663826,0.87,Q
SDSS J100456.45+223215.3,151.235232,22.537598,0.42,Q
SDSS J205623.36+003544.0,314.097347,0.595559,0.69,Q
SDSS J152651.11+264433.8,231.71295,26.74274,0.58,Q
SDSS J133057.70+275553.8,202.740445,27.93162,0.81,Q
SDSS J164212.15+483155.1,250.550629,48.531974,1.04,Q
SDSS J143833.24+102008.6,219.638509,10.335731,0.23,AX
SDSS J105451.05+215300.0,163.71275,21.883343,0.6,Q
SDSS J150441.17+071622.0,226.171566,7.272762,0.23,A
SDSS J123401.63+582857.2,188.506788,58.48256,0.34,A
SDSS J102619.34+465354.9,156.580618,46.898572,0.81,Q
SDSS J081358.40+235500.5,123.493338,23.916804,0.45,A
SDSS J134152.95+213654.1,205.470623,21.615074,0.53,Q
SDSS J100044.41+561307.8,150.185049,56.21883,0.63,Q
SDSS J144627.31+625928.5,221.613823,62.991258,0.72,Q
SDSS J222656.49+224418.3,336.73539,22.73844,0.57,Q
SDSS J135243.57+481512.2,208.181616,48.253407,1.84,Q
SDSS J171948.30+385143.0,259.951278,38.861945,0.76,QR
SDSS J130207.93+273414.2,195.533074,27.570637,0.73,QX
SDSS J151014.46+605423.7,227.560237,60.906587,2.2,Q
SDSS J104204.46+255241.3,160.518619,25.878145,1.5,Q
SDSS J094114.22+311058.3,145.309269,31.182865,0.62,QX
SDSS J114721.46+411535.5,176.839451,41.259852,0.53,Q
SDSS J124010.09+514058.2,190.042082,51.682837,2.41,Q
SDSS J162412.42+560330.7,246.051793,56.058525,0.85,Q
SDSS J131103.07+291107.1,197.762815,29.18529,1.77,QR
SDSS J144743.69+025853.7,221.932063,2.981577,1.87,QX
SDSS J153457.41+470426.5,233.739235,47.074045,0.89,Q
SDSS J015632.33+073532.5,29.134749,7.592368,0.69,Q
SDSS J080048.16+265151.0,120.200692,26.864177,0.69,Q
SDSS J124523.15+460151.4,191.346496,46.030943,0.57,Q
SDSS J114032.47+390026.3,175.135325,39.007309,0.37,A
SDSS J075307.15+290935.0,118.279822,29.15975,0.89,QX
SDSS J015419.64-014905.7,28.581855,-1.818244,0.97,Q
SDSS J130622.96+225752.9,196.595688,22.964715,0.75,QR
SDSS J235207.35+281722.0,358.030621,28.289433,0.79,Q
SDSS J084130.80+464843.3,130.378334,46.812009,0.62,Q
SDSS J231521.07+335014.3,348.837776,33.837335,1.38,Q
SDSS J171728.04+413141.4,259.366865,41.528161,1.01,Q
SDSS J172128.24+375420.3,260.367687,37.905651,1.31,Q
SDSS J151652.68+064407.3,229.219539,6.735355,0.82,QX
SDSS J003141.83+061432.1,7.924335,6.24228,0.73,Q
SDSS J214754.23+000101.3,326.975992,0.017044,0.76,Q
SDSS J004242.08+163744.3,10.675323,16.628975,0.89,Q
SDSS J080719.80+450555.9,121.832521,45.098862,0.95,Q
SDSS J120751.79+604706.6,181.965819,60.785171,0.38,QR
SDSS J100625.91+045520.2,151.608006,4.922291,0.75,Q
SDSS J132803.45+033142.3,202.014413,3.528416,2.23,Q
SDSS J123919.15+481500.5,189.829814,48.250157,1.21,Q
SDSS J001757.50+291435.1,4.489597,29.243128,0.57,Q
SDSS J145548.09+573216.5,223.950391,57.537944,1,QR
SDSS J010254.41+330637.1,15.726755,33.110333,0.4,Q
SDSS J002958.68+055004.3,7.49454,5.83453,1.09,QX
SDSS J135510.15+330556.8,208.79234,33.099136,0.13,AX
SDSS J162406.48+174200.0,246.027019,17.70002,1.23,Q
SDSS J210806.49+051150.9,317.027065,5.197503,0.92,Q
SDSS J143449.55+503549.6,218.706505,50.59712,0.31,A
SDSS J022939.94+044355.4,37.416424,4.732073,0.58,Q
SDSS J164858.36+340059.8,252.243173,34.016652,2.14,Q
SDSS J150823.57+515956.0,227.098219,51.998871,0.76,Q
SDSS J000145.32+214346.9,0.438864,21.7297,1.16,Q
SDSS J012941.30+305438.2,22.422121,30.910639,0.5,Q
SDSS J131440.18+482940.9,198.667415,48.494706,0.5,Q
SDSS J155238.22+425214.3,238.159301,42.870643,1.77,Q
SDSS J162242.83+274549.5,245.67849,27.763768,0.74,Q
SDSS J080414.70+484524.9,121.061288,48.756924,1.24,Q
SDSS J012633.83+255611.0,21.640937,25.93642,0.42,QX
SDSS J075631.23+411346.9,119.130191,41.22972,0.46,AX
SDSS J090345.17+484016.1,135.938233,48.671169,0.23,A
SDSS J084721.90+520226.5,131.84127,52.040677,0.16,Q
SDSS J073909.74+242511.1,114.790607,24.419762,0.43,Q
SDSS J144021.56+310924.4,220.089841,31.156794,1.7,Q
SDSS J145624.00+421800.2,224.100009,42.300072,0.19,A
SDSS J015332.40+281913.3,28.384992,28.320367,0.86,Q
SDSS J112422.35+325153.0,171.093186,32.864755,0.4,A
SDSS J094510.03+554625.5,146.291784,55.773768,0.64,Q
SDSS J140130.80+570453.2,210.378373,57.081451,0.41,QRX
SDSS J122742.47+295434.3,186.926943,29.909555,0.91,Q
SDSS J103149.68+450445.1,157.957032,45.079209,2.46,Q
SDSS J141210.18+520423.3,213.042412,52.073164,2.95,QX
SDSS J162956.06+301704.5,247.483568,30.28459,0.7,Q
SDSS J084258.31+532132.8,130.742938,53.359137,0.6,Q
SDSS J212136.36+003346.4,320.401509,0.562893,0.51,Q
SDSS J003310.97+262603.4,8.295732,26.434335,0.78,Q
SDSS J163708.09+304735.4,249.283725,30.793182,0.49,A
SDSS J140421.75+363915.8,211.090638,36.654409,0.4,A
