 MJD mag mag_err
 2455624.43089 17.295 0.021 
 2455624.44058 17.311 0.017 
 2455624.45026 17.314 0.025 
 2455624.45994 17.338 0.019 
 2455624.46963 17.334 0.024 
 2455624.47936 17.324 0.021 
 2455624.48906 17.29  0.026 
 2455624.49874 17.283 0.016 
 2455624.50842 17.272 0.028 
 2455624.52782 17.267 0.025 
 2455624.5375  17.267 0.021 
 2455624.54719 17.262 0.017 
 2455624.55688 17.269 0.021 
 2455624.56658 17.265 0.02  
 2455624.57628 17.273 0.018 
 2455624.59566 17.297 0.018 
 2455624.60536 17.289 0.02  
 2455624.61506 17.28  0.023 
 2455624.62476 17.315 0.019 
 2455625.28673 17.229 0.016 
 2455625.29643 17.23  0.014 
 2455625.30611 17.236 0.016 
 2455625.31578 17.231 0.016 
 2455625.32544 17.22  0.015 
 2455625.33511 17.233 0.015 
 2455625.34479 17.236 0.016 
 2455625.35449 17.239 0.012 
 2455625.36419 17.257 0.016 
 2455625.37391 17.266 0.014 
 2455625.38368 17.252 0.016 
 2455625.39336 17.238 0.012 
 2455625.40306 17.247 0.012 
 2455625.41275 17.235 0.012 
 2455625.42242 17.227 0.012 
 2455625.43213 17.233 0.016 
 2455625.44183 17.193 0.012 
 2455625.45156 17.217 0.016 
 2455625.46126 17.224 0.032 
 2455625.47095 17.18  0.017 
 2455625.48064 17.195 0.017 
 2455625.49034 17.192 0.018 
 2455625.50004 17.183 0.023 
 2455625.50972 17.188 0.014 
 2455625.51943 17.171 0.017 
 2455625.52911 17.191 0.016 
 2455625.5388  17.156 0.026 
 2455625.54852 17.151 0.015 
 2455625.55821 17.147 0.016 
 2455625.56792 17.154 0.013 
 2455625.57761 17.157 0.023 
 2455625.5873  17.154 0.015 
 2455625.59699 17.16  0.016 
 2455626.2682  17.285 0.024 
 2455626.27793 17.255 0.025 
 2455626.28762 17.241 0.024 
 2455626.34837 17.262 0.014 
 2455626.35804 17.24  0.014 
 2455626.36773 17.245 0.018 
 2455626.37743 17.269 0.017 
 2455626.38712 17.232 0.014 
 2455626.3968  17.249 0.013 
 2455626.4065  17.247 0.015 
 2455626.41618 17.27  0.015 
 2455626.42586 17.262 0.015 
 2455626.43554 17.28  0.017 
 2455626.44521 17.292 0.018 
 2455626.46457 17.295 0.017 
 2455626.47425 17.289 0.014 
 2455626.48393 17.301 0.014 
 2455626.49363 17.291 0.017 
 2455626.51301 17.304 0.015 
 2455626.5227  17.336 0.017 
 2455626.53239 17.347 0.019 
 2455626.54209 17.318 0.019 
 2455626.55177 17.307 0.021 
 2455626.56149 17.32  0.025 
 2455626.57117 17.335 0.02  
 2455626.58086 17.325 0.024 
 2455626.59054 17.336 0.022 
 2455626.60025 17.342 0.02  
 2455626.60993 17.325 0.023 
 2455626.61963 17.298 0.023 
 2455626.62933 17.324 0.021 
